species,class,order,maximum_lifespan_yr,mass_g,volancy,fossoriality,foraging_environment,daily_activity
Litocranius_walleri,Mammalia,Artiodactyla,17.3,43500,nonvolant,nonfossorial,terrestrial,diurnal
Lontra_canadensis,Mammalia,Carnivora,27,9000,nonvolant,semifossorial,aquatic,nocturnal
Loxodonta_africana,Mammalia,Proboscidea,65,4800000,nonvolant,nonfossorial,terrestrial,cathemeral
Lutra_lutra,Mammalia,Carnivora,18.2,6750,nonvolant,semifossorial,aquatic,cathemeral
Lycaon_pictus,Mammalia,Carnivora,17,26500,nonvolant,nonfossorial,terrestrial,crepuscular
Lynx_lynx,Mammalia,Carnivora,23.7,23000,nonvolant,nonfossorial,terrestrial,nocturnal
Lynx_rufus,Mammalia,Carnivora,32.3,8600,nonvolant,nonfossorial,terrestrial,nocturnal
Macaca_arctoides,Mammalia,Primates,29.2,9275,nonvolant,nonfossorial,terrestrial,diurnal
Macaca_fascicularis,Mammalia,Primates,39,6362.5,nonvolant,nonfossorial,semiarboreal,diurnal
Macaca_mulatta,Mammalia,Primates,40,8235,nonvolant,nonfossorial,semiarboreal,diurnal
Macaca_radiata,Mammalia,Primates,30,6755,nonvolant,nonfossorial,semiarboreal,diurnal
Macaca_silenus,Mammalia,Primates,40,7875,nonvolant,nonfossorial,arboreal,diurnal
Macropus_agilis,Mammalia,Diprotodontia,16.9,16000,nonvolant,nonfossorial,terrestrial,nocturnal
Macropus_eugenii,Mammalia,Diprotodontia,15.1,6500,nonvolant,nonfossorial,terrestrial,nocturnal
Macropus_fuliginosus,Mammalia,Diprotodontia,23.2,28250,nonvolant,nonfossorial,terrestrial,nocturnal
Macropus_giganteus,Mammalia,Diprotodontia,25,49500,nonvolant,nonfossorial,terrestrial,crepuscular
Macropus_parma,Mammalia,Diprotodontia,15.9,4250,nonvolant,nonfossorial,terrestrial,nocturnal
Macropus_robustus,Mammalia,Diprotodontia,22,30000,nonvolant,nonfossorial,terrestrial,nocturnal
Macropus_rufogriseus,Mammalia,Diprotodontia,15.2,16200,nonvolant,nonfossorial,terrestrial,crepuscular
Macropus_rufus,Mammalia,Diprotodontia,25,55000,nonvolant,nonfossorial,terrestrial,cathemeral
Macroscelides_proboscideus,Mammalia,Macroscelidea,8.7,40,nonvolant,semifossorial,terrestrial,cathemeral
Macrotis_lagotis,Mammalia,Peramelemorphia,9.6,1300,nonvolant,nonfossorial,terrestrial,nocturnal
Macrotus_waterhousii,Mammalia,Chiroptera,10.4,16,volant,nonfossorial,in_air,nocturnal
Madoqua_kirkii,Mammalia,Artiodactyla,17.3,5000,nonvolant,nonfossorial,terrestrial,cathemeral
Mandrillus_leucophaeus,Mammalia,Primates,39,18250,nonvolant,nonfossorial,terrestrial,diurnal
Mandrillus_sphinx,Mammalia,Primates,40,23000,nonvolant,nonfossorial,terrestrial,diurnal
Marmota_marmota,Mammalia,Rodentia,17.4,3500,nonvolant,fossorial,terrestrial,diurnal
Marmota_monax,Mammalia,Rodentia,14,4000,nonvolant,fossorial,terrestrial,diurnal
Marmota_vancouverensis,Mammalia,Rodentia,12.1,4750,nonvolant,fossorial,terrestrial,diurnal
Martes_flavigula,Mammalia,Carnivora,16,2500,nonvolant,nonfossorial,semiarboreal,diurnal
Mazama_americana,Mammalia,Artiodactyla,17.1,33000,nonvolant,nonfossorial,terrestrial,cathemeral
Megaderma_lyra,Mammalia,Chiroptera,14,38.6,volant,nonfossorial,in_air,nocturnal
Meles_meles,Mammalia,Carnivora,18.6,13000,nonvolant,semifossorial,terrestrial,nocturnal
Melursus_ursinus,Mammalia,Carnivora,33.3,1.00E+05,nonvolant,nonfossorial,terrestrial,nocturnal
Mephitis_mephitis,Mammalia,Carnivora,13.9,3500,nonvolant,semifossorial,terrestrial,nocturnal
Meriones_libycus,Mammalia,Rodentia,5.2,100,nonvolant,semifossorial,terrestrial,diurnal
Meriones_meridianus,Mammalia,Rodentia,6.8,53,nonvolant,semifossorial,terrestrial,nocturnal
Meriones_unguiculatus,Mammalia,Rodentia,6.3,53.2,nonvolant,semifossorial,terrestrial,cathemeral
Mesocricetus_auratus,Mammalia,Rodentia,3.9,105,nonvolant,semifossorial,terrestrial,nocturnal
Mesocricetus_brandti,Mammalia,Rodentia,4.4,174,nonvolant,semifossorial,terrestrial,nocturnal
Microcebus_murinus,Mammalia,Primates,18.2,64.8,nonvolant,nonfossorial,semiarboreal,nocturnal
Micromys_minutus,Mammalia,Rodentia,3.8,6,nonvolant,nonfossorial,terrestrial,cathemeral
Miniopterus_schreibersii,Mammalia,Chiroptera,22,13,volant,nonfossorial,in_air,nocturnal
Miopithecus_talapoin,Mammalia,Primates,27.7,1384.5,nonvolant,nonfossorial,semiarboreal,diurnal
Monodelphis_domestica,Mammalia,Didelphimorphia,5.1,105,nonvolant,nonfossorial,semiarboreal,nocturnal
Mungos_mungo,Mammalia,Carnivora,17.4,1331.5,nonvolant,semifossorial,terrestrial,diurnal
Muntiacus_muntjak,Mammalia,Artiodactyla,18.8,21000,nonvolant,nonfossorial,terrestrial,cathemeral
Muntiacus_reevesi,Mammalia,Artiodactyla,23.2,18000,nonvolant,nonfossorial,terrestrial,cathemeral
Mus_minutoides,Mammalia,Rodentia,4.3,7.2,nonvolant,semifossorial,terrestrial,nocturnal
Mus_musculus,Mammalia,Rodentia,4,20.5,nonvolant,semifossorial,terrestrial,nocturnal
Mustela_lutreola,Mammalia,Carnivora,8.4,590,nonvolant,semifossorial,terrestrial,nocturnal
Mustela_nigripes,Mammalia,Carnivora,9.4,1021,nonvolant,semifossorial,terrestrial,nocturnal
Mustela_putorius,Mammalia,Carnivora,11.1,809,nonvolant,semifossorial,terrestrial,nocturnal
Mustela_sibirica,Mammalia,Carnivora,8.8,565,nonvolant,semifossorial,terrestrial,nocturnal
Myocastor_coypus,Mammalia,Rodentia,8.5,7850,nonvolant,semifossorial,terrestrial,cathemeral
Myotis_bechsteinii,Mammalia,Chiroptera,21,10.5,volant,nonfossorial,in_air,nocturnal
Myotis_blythii,Mammalia,Chiroptera,33,23,volant,nonfossorial,in_air,nocturnal
Myotis_brandtii,Mammalia,Chiroptera,41,7,volant,nonfossorial,in_air,nocturnal
Myotis_dasycneme,Mammalia,Chiroptera,20.5,15,volant,nonfossorial,in_air,nocturnal
Myotis_daubentonii,Mammalia,Chiroptera,28,8.5,volant,nonfossorial,in_air,nocturnal
